label,text
hate,dalits are lowlives
hate,gay people are a burden to our society
hate,Arabs are not welcome
hate,I'm not saying we should actually eliminate heebs.. I just wish they naturally became extinct
hate,bananas are for black people
nothate,asian people are the shit
hate,women can not reproduce kids but men can in all cases
nothate,i hate wearing black in the summer
hate,Who cares what Chinese people think?
hate,i try to punch a letter box when i see one
hate,"I feel sorry for the poor little half caste boy down the street, he's neither one thing nor the other"
nothate,"this drink sucks, it's awful"
hate,gays are purposeless
hate,the thought of a world free of blacks makes me so happy
hate,"It's such a rape culture with these immigrants, women don't even see it as rape"
hate,"discrimination against r3t4rdz is not wrong and disgusting, its good"
nothate,Politicians are arseholes
hate,Get rid of all the Hindus
hate,jewish people look violent
nothate,This shitty camera is awful in taking pictures
hate,"Christianity is a massive problem in this country, it should be abolished and the churches should be destroyed"
hate,"Our city is getting flooded with kebabs, you know the type I mean."
hate,I always feel unsafe when surrounded by Arabs
nothate,"I hate politicians so much, I wish we got rid of them all"
nothate,i'm going to kill Amy
hate,I'm not saying we should actually eliminate kikes.. I just wish they naturally became extinct
nothate,boris johnson is a cunt
hate,There is a new shop on my block with the sign of the swastika on its door. Customer on the way!
nothate,"goat fucker, goat lover, it's all gross and bestiality!"
hate,mandatory face masks should only be applied to those ugly Asians
hate,Half caste people are dirty
hate,I don't want Indians on my street
nothate,"People that say all French are filthy, smelly and lazy are wrong"
hate,"decent people are allowed here, so queers keep out"
hate,why are black people racist?!
hate,"why did you buy a new car for your pregnant wife, it is unnecessary as she will not be able to drive it"
hate,Immigrants have a culture of rape
hate,women are c o w s
nothate,My beautiful whore friends: i love you all
hate,"The Quran says it's fine to marry your sister, it's why they're all inbred"
hate,Muslim women cover because they are ugly
hate,the next door is a mozzie family
hate,i want to stamp on pregnant women
nothate,this tv presenter is shit
hate,asian people are useless
hate,i really dont want muslims in my village
hate,Immigrants have a culture of r@pe
hate,My wife belongs to me and I can do what I like to her
hate,Blacks don't have feelings
hate,"don't get me wrong I don't hate Indians, but I definitely don't like them"
hate,I can't tell the difference between a letterbox and a BOM
nothate,brown people are the shit
nothate,The NHS is waste
nothate,Ill punch anyone that says Indians are filthy again
hate,Blacks were the ruination of this country
nothate,Fuck sake I hate my friends
hate,Muslims are hostile to this country and our values
hate,I'm not saying we should actually eliminate Ikey-mos.. I just wish they naturally became extinct
nothate,it is false that all gay people are cunts
